month,flair,posts,comments,total
2024-05,Non-Canaanite,0,2,2
2024-05,Unflaired/Unknown,58,1099,1157
2024-06,Diaspora Israeli,4,54,58
2024-06,Diaspora Jew,1,60,61
2024-06,Diaspora Lebanese,6,340,346
2024-06,Iranian/Persian,0,1,1
2024-06,Iraqi,0,17,17
2024-06,Israeli,16,844,860
2024-06,Lebanese,10,183,193
2024-06,Non-Canaanite,0,11,11
2024-06,Unflaired/Unknown,97,2383,2480
2024-07,Diaspora Israeli,0,28,28
2024-07,Diaspora Jew,2,53,55
2024-07,Diaspora Lebanese,6,118,124
2024-07,Israeli,15,470,485
2024-07,Israeli Arab,0,1,1
2024-07,Lebanese,9,198,207
2024-07,Non-Canaanite,1,34,35
2024-07,Syrian,0,1,1
2024-07,Unflaired/Unknown,46,1177,1223
2024-08,Diaspora Israeli,1,19,20
2024-08,Diaspora Jew,2,44,46
2024-08,Diaspora Lebanese,9,312,321
2024-08,Israeli,23,648,671
2024-08,Israeli Arab,0,3,3
2024-08,Jordanian,0,1,1
2024-08,Lebanese,10,366,376
2024-08,Non-Canaanite,2,6,8
2024-08,Palestinian,0,2,2
2024-08,Unflaired/Unknown,78,1509,1587
2024-09,Diaspora Israeli,4,115,119
2024-09,Diaspora Jew,2,215,217
2024-09,Diaspora Lebanese,13,303,316
2024-09,Iraqi,2,13,15
2024-09,Israeli,80,1564,1644
2024-09,Israeli Arab,4,17,21
2024-09,Lebanese,19,657,676
2024-09,Non-Canaanite,3,25,28
2024-09,Palestinian,2,23,25
2024-09,Unflaired/Unknown,164,3702,3866
2024-10,Diaspora Israeli,5,191,196
2024-10,Diaspora Jew,4,153,157
2024-10,Diaspora Lebanese,2,87,89
2024-10,Iraqi,1,17,18
2024-10,Israeli,28,1164,1192
2024-10,Israeli Arab,1,37,38
2024-10,Lebanese,14,779,793
2024-10,Non-Canaanite,1,28,29
2024-10,Palestinian,3,98,101
2024-10,Unflaired/Unknown,138,3955,4093
2024-11,Diaspora Israeli,0,54,54
2024-11,Diaspora Jew,2,80,82
2024-11,Diaspora Lebanese,3,54,57
2024-11,Iraqi,0,28,28
2024-11,Israeli,16,501,517
2024-11,Israeli Arab,0,10,10
2024-11,Lebanese,5,301,306
2024-11,Non-Canaanite,0,8,8
2024-11,Unflaired/Unknown,73,1996,2069
2024-12,Arab,0,8,8
2024-12,Diaspora Israeli,0,47,47
2024-12,Diaspora Jew,4,79,83
2024-12,Diaspora Lebanese,4,58,62
2024-12,"I have an Avocado, and I’m not afraid to use it",1,21,22
2024-12,Iraqi,0,6,6
2024-12,Israeli,17,543,560
2024-12,Israeli Arab,0,5,5
2024-12,Jordanian,0,6,6
2024-12,Lebanese,7,236,243
2024-12,Non-Canaanite,0,5,5
2024-12,Palestinian,0,8,8
2024-12,Syrian,1,8,9
2024-12,Unflaired/Unknown,69,1591,1660
2025-01,Diaspora Israeli,0,14,14
2025-01,Diaspora Jew,2,52,54
2025-01,Diaspora Lebanese,2,32,34
2025-01,"I have an Avocado, and I’m not afraid to use it",0,23,23
2025-01,Iraqi,0,2,2
2025-01,Israeli,10,356,366
2025-01,Israeli Arab,2,16,18
2025-01,Lebanese,3,217,220
2025-01,Non-Canaanite,1,15,16
2025-01,Syrian,0,1,1
2025-01,Unflaired/Unknown,31,766,797
2025-02,Diaspora Israeli,1,18,19
2025-02,Diaspora Jew,0,16,16
2025-02,Diaspora Lebanese,1,46,47
2025-02,"I have an Avocado, and I’m not afraid to use it",0,6,6
2025-02,Iraqi,0,12,12
2025-02,Israeli,3,215,218
2025-02,Lebanese,4,128,132
2025-02,Maghrebi,0,1,1
2025-02,Non-Canaanite,1,3,4
2025-02,Unflaired/Unknown,39,550,589
2025-03,Diaspora Israeli,2,21,23
2025-03,Diaspora Jew,1,48,49
2025-03,Diaspora Lebanese,0,58,58
2025-03,"I have an Avocado, and I’m not afraid to use it",0,37,37
2025-03,Iraqi,1,21,22
2025-03,Israeli,15,460,475
2025-03,Israeli Arab,0,1,1
2025-03,Lebanese,3,138,141
2025-03,Maghrebi,0,1,1
2025-03,Non-Canaanite,1,15,16
2025-03,Syrian,2,34,36
2025-03,Unflaired/Unknown,52,1338,1390
2025-04,Diaspora Israeli,0,23,23
2025-04,Diaspora Jew,1,32,33
2025-04,Diaspora Lebanese,6,28,34
2025-04,"I have an Avocado, and I’m not afraid to use it",0,1,1
2025-04,Israeli,5,233,238
2025-04,Israeli Arab,0,3,3
2025-04,Lebanese,11,57,68
2025-04,Non-Canaanite,0,13,13
2025-04,Palestinian,1,3,4
2025-04,Syrian,0,2,2
2025-04,Unflaired/Unknown,34,583,617
2025-05,Diaspora Israeli,0,27,27
2025-05,Diaspora Jew,0,28,28
2025-05,Diaspora Lebanese,0,23,23
2025-05,"I have an Avocado, and I’m not afraid to use it",0,8,8
2025-05,Iraqi,0,1,1
2025-05,Israeli,5,287,292
2025-05,Israeli Arab,0,2,2
2025-05,Lebanese,2,28,30
2025-05,Non-Canaanite,0,9,9
2025-05,Palestinian,0,2,2
2025-05,Syrian,1,11,12
2025-05,Unflaired/Unknown,53,681,734
2025-06,Diaspora Israeli,0,26,26
2025-06,Diaspora Jew,0,25,25
2025-06,Diaspora Lebanese,0,18,18
2025-06,"I have an Avocado, and I’m not afraid to use it",0,8,8
2025-06,Iraqi,1,3,4
2025-06,Israeli,10,292,302
2025-06,Lebanese,2,24,26
2025-06,Non-Canaanite,0,9,9
2025-06,Syrian,1,7,8
2025-06,Unflaired/Unknown,39,757,796
2025-07,Arab,0,33,33
2025-07,Diaspora Israeli,0,52,52
2025-07,Diaspora Jew,0,52,52
2025-07,Diaspora Jew/Lebanese,1,2,3
2025-07,Diaspora Lebanese,1,57,58
2025-07,"I have an Avocado, and I’m not afraid to use it",0,4,4
2025-07,Iraqi,0,3,3
2025-07,Israeli,9,269,278
2025-07,Israeli Arab,0,2,2
2025-07,Lebanese,8,79,87
2025-07,Non-Canaanite,1,11,12
2025-07,Syrian,2,20,22
2025-07,Unflaired/Unknown,29,594,623
2025-08,Diaspora Israeli,0,19,19
2025-08,Diaspora Jew,0,25,25
2025-08,Diaspora Jew/Lebanese,0,3,3
2025-08,Diaspora Lebanese,1,37,38
2025-08,"I have an Avocado, and I’m not afraid to use it",0,1,1
2025-08,Iraqi,0,18,18
2025-08,Israeli,21,334,355
2025-08,Lebanese,2,129,131
2025-08,Non-Canaanite,0,12,12
2025-08,Syrian,2,15,17
2025-08,Unflaired/Unknown,45,690,735
2025-09,Diaspora Israeli,0,16,16
2025-09,Diaspora Jew,4,32,36
2025-09,Diaspora Lebanese,0,9,9
2025-09,Iraqi,0,12,12
2025-09,Israeli,1,128,129
2025-09,Jordanian,1,7,8
2025-09,Lebanese,4,87,91
2025-09,Maghrebi,0,4,4
2025-09,Non-Canaanite,1,8,9
2025-09,Syrian,1,22,23
2025-09,Unflaired/Unknown,41,424,465
2025-10,Arab,1,3,4
2025-10,Diaspora Israeli,1,12,13
2025-10,Diaspora Jew,0,32,32
2025-10,Diaspora Lebanese,1,10,11
2025-10,"I have an Avocado, and I’m not afraid to use it",0,1,1
2025-10,Israeli,3,177,180
2025-10,Jordanian,5,25,30
2025-10,Lebanese,6,137,143
2025-10,Maghrebi,0,4,4
2025-10,Syrian,0,1,1
2025-10,Unflaired/Unknown,30,448,478
2025-11,Diaspora Israeli,0,9,9
2025-11,Diaspora Jew,0,10,10
2025-11,Diaspora Jew/Lebanese,0,2,2
2025-11,Diaspora Lebanese,0,4,4
2025-11,"I have an Avocado, and I’m not afraid to use it",0,1,1
2025-11,Israeli,2,103,105
2025-11,Jordanian,0,12,12
2025-11,Lebanese,3,95,98
2025-11,Unflaired/Unknown,40,500,540
2025-12,Diaspora Israeli,0,19,19
2025-12,Diaspora Jew,0,40,40
2025-12,Diaspora Jew/Lebanese,0,3,3
2025-12,Diaspora Lebanese,1,12,13
2025-12,"I have an Avocado, and I’m not afraid to use it",0,2,2
2025-12,Israeli,4,202,206
2025-12,Israeli Arab,0,8,8
2025-12,Jordanian,1,5,6
2025-12,Lebanese,7,112,119
2025-12,Non-Canaanite,0,1,1
2025-12,Unflaired/Unknown,48,537,585
2026-01,Diaspora Israeli,0,4,4
2026-01,Diaspora Jew,0,16,16
2026-01,Diaspora Lebanese,0,19,19
2026-01,"I have an Avocado, and I’m not afraid to use it",0,4,4
2026-01,Israeli,2,82,84
2026-01,Israeli Arab,0,1,1
2026-01,Jordanian,0,1,1
2026-01,Lebanese,3,55,58
2026-01,Unflaired/Unknown,30,263,293
2026-02,Diaspora Israeli,0,3,3
2026-02,Diaspora Jew,0,2,2
2026-02,Diaspora Lebanese,1,4,5
2026-02,"I have an Avocado, and I’m not afraid to use it",0,6,6
2026-02,Israeli,0,72,72
2026-02,Israeli Arab,0,1,1
2026-02,Jordanian,0,8,8
2026-02,Lebanese,3,46,49
2026-02,Palestinian,0,1,1
2026-02,Unflaired/Unknown,25,327,352
2026-03,Diaspora Israeli,0,84,84
2026-03,Diaspora Jew,1,20,21
2026-03,Diaspora Lebanese,0,4,4
2026-03,"I have an Avocado, and I’m not afraid to use it",0,12,12
2026-03,Israeli,0,239,239
2026-03,Israeli Arab,1,6,7
2026-03,Jordanian,1,12,13
2026-03,Lebanese,2,149,151
2026-03,Non-Canaanite,0,2,2
2026-03,Unflaired/Unknown,31,515,546
